ID,Company,Location,Sector,Designation,Job Description,Salary
1653,HiveMinds Innovative Market Solutions,"Bengaluru Area, India","Marketing and Advertising, Market Research",Online Marketing Manager/Specialist,"IMPORTANT: To Apply, please fill up the form on this link - http://goo.gl/hjNqXe. This should take around 20-30 minutes which consists of basic aptitude and a brief background about yourself.    Roles Understand Client’s business goals, support with Market Research, devise Marketing Strategy to take the Client businesses to the next stage Execute marketing campaigns through SEO / SEM / Social Medi...",No salary provided
1654,DesignSense Software Technologies Private Limited,"Bengaluru Area, India",Information Technology and Services,"Senior Software Engineer, Android Development","Role As a Senior Software Engineer, you will be working on product development and be on the forefront of advancing Construction Management processes through different technologies, enabling companies to adapt Lean Construction technologies.  In this role, you will work through all facets of software development: design, prototype, implementation, testing and documentation.     Principal Duties &a...",No salary provided
1655,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Software Engineer - C++ - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",No salary provided
1656,Veda Semantics,"Bengaluru Area, India",Information Technology and Services,NLP Programmer,"You will be part of our research team developing and enhancing our Sentiment analysis, Problem Identification, Intent Identification, NER, Topic extraction, Question Answering systems....",No salary provided
1657,HiveMinds Innovative Market Solutions,"Bengaluru Area, India","Marketing and Advertising, Market Research",Online Marketing Manager/Specialist,"IMPORTANT: To Apply, please fill up the form on this link - http://goo.gl/hjNqXe. This should take around 20-30 minutes which consists of basic aptitude and a brief background about yourself.    Roles Understand Client’s business goals, support with Market Research, devise Marketing Strategy to take the Client businesses to the next stage Execute marketing campaigns through SEO / SEM / Social Medi...",No salary provided
1658,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
1659,Altiux Innovations,"Bengaluru Area, India",Information Technology and Services,PreSales Manager – IOT-CE,"We are looking for a motivated senior solutioning professional who can support our sales teams to extract customer requirements and prepare solutions using Altiux IP, Services and Solutions. The role requires prior experience in consumer electronics preferably involving Internet of Things (IOT) technologies. Responsibilities: This is an individual contribution role and candidates should have stron...",No salary provided
1660,Gaames Unlimited,"Bengaluru Area, India",Sporting Goods,Web Application Developer,"Experience Required: Up to 3 years’experience with HTML/XHTML and CSS Up to 2 years’ experience Web programming experience, including PHP, ASP or JSP Up to 1 year experience working with relational database systems such as MySQL, MSSQL or Oracle and a good working knowledge of SQL Qualification:BS in computer science or a related field bachelor's degree program in multimedia or web design   Job Re...",No salary provided
1661,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
1662,Altiux Innovations,"Bengaluru Area, India",Information Technology and Services,PreSales Manager – IOT-CE,"We are looking for a motivated senior solutioning professional who can support our sales teams to extract customer requirements and prepare solutions using Altiux IP, Services and Solutions. The role requires prior experience in consumer electronics preferably involving Internet of Things (IOT) technologies. Responsibilities: This is an individual contribution role and candidates should have stron...",No salary provided
1663,Crossover.,"Bengaluru Area, India",Computer Software,Software Engineer - Java,"We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications. You will be part of a talented global software team that works on mission-critical applications. You will be responsible for Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing. This role...",No salary provided
